h3_cell,event_count,latitude,longitude,population,female,male,rate_per_1000,rate_per_10000
86088661fffffff,3152,59.329324,18.068581,235319.0,121462.0,113867.0,13.394583522792466,133.94583522792465
861f05ba7ffffff,2232,55.604981,13.003822,39395.0,19709.0,19680.0,56.656936159411096,566.5693615941109
8608b4787ffffff,2002,58.252793,13.059643,1067.0,490.0,563.0,1876.2886597938145,18762.886597938144
861f21057ffffff,1951,56.896681,12.803399,106.0,43.0,50.0,18405.66037735849,184056.6037735849
8608f62efffffff,1612,63.825847,20.263035,24163.0,12207.0,11945.0,66.71357033480942,667.1357033480941
8608132cfffffff,1454,63.171192,14.95918,7.0,0.0,5.0,207714.2857142857,2077142.8571428573
8608a8057ffffff,1403,62.390811,17.306927,34158.0,17333.0,16815.0,41.07383336260905,410.73833362609054
861f25a97ffffff,1327,57.70887,11.97456,97999.0,47364.0,50621.0,13.540954499535708,135.4095449953571
8608b118fffffff,1188,59.275263,15.213411,54747.0,28531.0,26225.0,21.699819168173597,216.998191681736
860880d9fffffff,1187,59.858564,17.638927,87960.0,45613.0,42331.0,13.494770350159163,134.94770350159163
8608c6807ffffff,1104,65.584819,22.156703,31668.0,15888.0,15764.0,34.86169003410382,348.6169003410383
860813277ffffff,1099,63.176683,14.636068,26587.0,13754.0,12838.0,41.335991273930865,413.35991273930864
8608b3d17ffffff,1073,58.345364,15.519784,1048.0,502.0,532.0,1023.8549618320611,10238.549618320612
861f2c807ffffff,1071,57.370843,14.343917,26.0,10.0,13.0,41192.307692307695,411923.07692307694
8608f02c7ffffff,1056,64.750244,20.950917,19697.0,9695.0,10003.0,53.61222521196121,536.1222521196121
8608b336fffffff,1055,59.033635,16.75189,80.0,35.0,36.0,13187.5,131875.0
8608a6697ffffff,1042,59.729407,13.235402,485.0,248.0,234.0,2148.4536082474224,21484.536082474227
8608b1b87ffffff,1039,59.535036,15.006573,503.0,243.0,259.0,2065.606361829026,20656.063618290256
86088695fffffff,1031,59.609901,16.544809,56404.0,28472.0,27940.0,18.278845471952344,182.78845471952343
8608a3b37ffffff,1017,61.091701,14.666365,659.0,308.0,340.0,1543.2473444613051,15432.473444613051
861f23267ffffff,966,56.046467,12.694512,68624.0,35064.0,33561.0,14.076707857309396,140.76707857309395
8608b504fffffff,652,59.402181,13.511498,26280.0,13133.0,13142.0,24.809741248097414,248.09741248097413
860885577ffffff,609,60.67488,17.141273,44309.0,22559.0,21739.0,13.744386016384933,137.44386016384934
8608a96cfffffff,602,63.290047,18.716617,14907.0,7568.0,7360.0,40.38371234990273,403.83712349902726
861f2c397ffffff,566,56.879004,14.805852,40188.0,20123.0,20087.0,14.083806111277,140.83806111277
861f2e2a7ffffff,554,56.029394,14.156678,33531.0,17075.0,16458.0,16.52202439533566,165.2202439533566
861f05b07ffffff,520,55.70466,13.191007,42744.0,22229.0,20531.0,12.165450121654501,121.65450121654501
